img_name,visibility,exposure,objectness_uncertainty,weighted_variance_sum,weighted_entropy,p,r,f1,f2,ap_50,ap_50_95,conf,pred_cls,target_cls,distortion,label
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_07_4402719100_00014_jpg.rf.5911ef669eee155aaf72f45e4d59261e.jpg,0.045058922,0.001142578,0.003168581,0.002961605,1.141492544,[    0.38902],[          1],,[    0.76097],0.4975,0.0995,[     0.4151     0.37389     0.31298],[          7           7           7],[          7],GC10-DET,0.0
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_02_3437009400_00001_jpg.rf.8bb7c8c7dda98128b2989b16cc37cf95.jpg,0.544079441,0.006350098,0.003110826,8.86809e-05,0.761437884,[          1           1],[          1           1],,[          1           1],0.995,0.44775,[    0.44247     0.44208],[          4           9],[          9           4],GC10-DET,0.0
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_01_425243300_00234_jpg.rf.1b30ea00e0685cb57fc563ec6b2834a0.jpg,0.066461996,0.111323242,0.001429363,0.000654096,2.284172518,[          1],[          1],,[          1],0.995,0.597,[    0.44685],[          6],[          6],GC10-DET,0.0
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_02_4404580600_00490_jpg.rf.16650ce74d5d2b9e1a4b65ca282e63da.jpg,0.185011041,0.000446777,0.001116932,0.001164782,2.285197209,[    0.33333],[          1],,[    0.71429],0.995,0.6965,[    0.31028     0.28977     0.26558],[          6           6           6],[          6],GC10-DET,0.0
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_02_425391700_00019_jpg.rf.a83eb8a4786e911b865620721dea3b3a.jpg,0.435889356,0.006960449,0.004007204,3.43126e-05,0.761174877,[          0           1],[          0           1],,[          0           1],0.4975,0.199,[    0.51134],[          9],[          9           4],GC10-DET,0.0
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_06_4402787700_01015_jpg.rf.8a458269ef19374e068b16bb8b26efce.jpg,0.515938558,0.000854492,0.007532361,5.0335e-05,1.139606686,[          1           0],[          1           0],,[          1           0],0.4975,0.199,[    0.68277      0.6396     0.25422],[          9           4           9],[          9           4],GC10-DET,0.0
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_03_3402617400_01103_jpg.rf.47380451b24c0c5e85700298c1ecbe6f.jpg,0.609265806,0.007302246,0.007115328,0.000190344,1.139643963,[          1     0.77585],[          1           1],,[          1     0.94537],0.995,0.597,[    0.50666     0.38814     0.27482],[          4           9           9],[          9           4],GC10-DET,0.0
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_07_425508400_00364_jpg.rf.8177783933f3ec138c19234b0c9a987b.jpg,0.062236665,0.006965332,0.005331125,0.000467518,1.140534832,[    0.78558],[          1],,[    0.94824],0.995,0.14925,[    0.53742     0.41865     0.38187],[          8           8           8],[          8],GC10-DET,0.0
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_02_3436813700_00265_jpg.rf.930c0dce6ac8ea23635e00156c54d847.jpg,0.132982503,0.056018066,0.015973656,0.00567265,2.263576271,[    0.61055],[          1],,[    0.88686],0.995,0.34825,[    0.82946     0.76439],[          8           8],[          8],GC10-DET,0.0
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_02_425383400_00356_jpg.rf.95edaa0a45ecf5edd27f6fe67d7ca516.jpg,0.635530353,0.001083984,1.0,1.0,2.302585093,[          0],[          0],,[          0],0.0,0.0,[],[],[          2],GC10-DET,0.0
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_06_425503400_00040_jpg.rf.460b8c269a7902513c25ebba5ad348dd.jpg,0.542415543,0.002854004,1.0,1.0,2.302585093,[          0],[          0],,[          0],0.0,0.0,[],[],[          8],GC10-DET,0.0
/Data4/student_zhihan_data/data/GC10-DET/train/images/img_07_3436814000_00680_jpg.rf.8397a25032021edba0f78cc851a96628.jpg,0.028817274,0.007478027,0.001534849,0.009615429,2.284167206,[          1],[          1],,[          1],0.995,0.597,[    0.26085],[          7],[          7],GC10-DET,0.0
