img_name,p,r,f1,f2,ap_50,ap_50_95,conf,pred_cls,target_cls,visibility,exposure,objectness_uncertainty,weighted_variance_sum,weighted_entropy
/Data4/student_zhihan_data/data/GC10-DET_BilateralBlur_300/test/images/img_05_425608200_00814_jpg.rf.51da696c5976e986c5c492e99d2dd638.jpg,[          1           0],[          1           0],[          1           0],[          1           0],0.4975,0.2985,[    0.30156],[          1],[          1           9],0.0916612513385878,0.0,0.013265041,0.0005572098223813,0.0856638743524634
/Data4/student_zhihan_data/data/GC10-DET_BilateralBlur_300/test/images/img_02_3436789500_00005_jpg.rf.85f310f1107d6db92898a8766345b99e.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[    0.44812     0.35152],[          3           9],[          0           0],0.5240972920607777,0.0,0.0059326603,0.0081374457112955,0.244794829089963
/Data4/student_zhihan_data/data/GC10-DET_BilateralBlur_300/test/images/img_08_425007500_01452_jpg.rf.a6354954b51ef244ccef3d9462ffe717.jpg,[          1           0],[          1           0],[          1           0],[          1           0],0.4975,0.2985,[    0.66264],[          1],[          1           9],0.1326924702256827,0.0,0.012642211,0.0006904252055856,0.2144991849080151
/Data4/student_zhihan_data/data/GC10-DET_BilateralBlur_300/test/images/img_01_425502900_00018_jpg.rf.993eb5cbb2f35e662145c2aa415d9879.jpg,[          1],[          1],[          1],[          1],0.995,0.6965,[    0.56324],[          1],[          1],0.0945386209467954,0.0,0.0035209595,3.08219491079501e-05,0.1053750370807015
/Data4/student_zhihan_data/data/GC10-DET_BilateralBlur_300/test/images/img_02_3436813700_00788_jpg.rf.33ac3428ca0da097f8ec6f666d2caf28.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[],[],[          8],0.4029085310721119,0.0,0.006517803,0.0019032212321821,0.2952032501576468
/Data4/student_zhihan_data/data/GC10-DET_BilateralBlur_300/test/images/img_08_425637500_00653_jpg.rf.269078f5716d0f1c7eb7259f891ec266.jpg,[          1           1],[          1           1],[          1           1],[          1           1],0.995,0.597,[    0.68422     0.32543],[          1           9],[          1           9],0.2489362869042587,0.0,0.012808663,0.0002502564546016,0.2200136979521772
/Data4/student_zhihan_data/data/GC10-DET_BilateralBlur_300/test/images/img_05_425505500_00053_jpg.rf.bcd8bcf9d6074b0fab4f2b095510420f.jpg,[          1         0.5],[          1           1],[          1     0.66667],[          1     0.83333],0.995,0.6965,[    0.76503     0.52365     0.48919],[          1           9           9],[          1           9],0.2871047359075777,0.0,0.019995395,0.0003458979769321,0.0728141914827233
/Data4/student_zhihan_data/data/GC10-DET_BilateralBlur_300/test/images/img_03_424992300_00206_jpg.rf.db57f94ddc87cd8c8d31d86134bfe8b5.jpg,[          1],[          1],[          1],[          1],0.995,0.4974999999999999,[    0.71754],[          8],[          8],0.4111671115988171,0.0,0.008710868,0.0002121603583794,0.0992029207139833
/Data4/student_zhihan_data/data/GC10-DET_BilateralBlur_300/test/images/img_03_424992300_00514_jpg.rf.b1eee4d04fd6d8ce8f6ad7cac1a91c98.jpg,[          0           1],[          0           1],[          0           1],[          0           1],0.4975,0.199,[    0.26137],[          8],[          8           6],0.2235580333202797,0.0,0.0071535883,1.891993312353537e-05,0.1097244591690987
/Data4/student_zhihan_data/data/GC10-DET_BilateralBlur_300/test/images/img_01_425008500_00104_jpg.rf.32e3c393304c5bd5dd58d6f5c54b11b2.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[],[],[          8],0.1553477532565639,0.0,0.008552919,0.0003617250105884,0.0999863786602777
/Data4/student_zhihan_data/data/GC10-DET_BilateralBlur_300/test/images/img_01_425614600_00001_jpg.rf.d08146824f2f274a835da26023733959.jpg,[          1],[          1],[          1],[          1],0.995,0.8955,[    0.37778],[          9],[          9],0.1787302038916643,0.0,0.0033523443,1.837393489383932e-05,0.0960769188309472
/Data4/student_zhihan_data/data/GC10-DET_BilateralBlur_300/test/images/img_04_425622400_00001_jpg.rf.1569615634dbd1da5eb39c062886d1b1.jpg,[          1           0],[          1           0],[          1           0],[          1           0],0.4975,0.2985,[    0.71437],[          1],[          1           9],0.475162284035638,0.0,0.0064460095,3.464179788203019e-05,0.112868469819513
/Data4/student_zhihan_data/data/GC10-DET_BilateralBlur_300/test/images/img_08_425640100_00874_jpg.rf.60e0b0bf22233173d446c821485769f3.jpg,[          1           0],[          1           0],[          1           0],[          1           0],0.4975,0.44775,[    0.67885],[          1],[          9           1],0.1906817593899923,0.0,0.01661982,7.792595510907489e-05,0.1013496187503888
/Data4/student_zhihan_data/data/GC10-DET_BilateralBlur_300/test/images/img_04_425501800_00017_jpg.rf.812d82b38c0ed09113d87b40c7a5f262.jpg,[          1],[          1],[          1],[          1],0.995,0.398,[    0.48436     0.45922     0.38487],[          9           1           9],[          1],0.2076086747570645,0.0,0.009191164,3.973283473458716e-05,0.0899368147124125
