img_name,visibility,exposure,objectness_uncertainty,weighted_variance_sum,weighted_entropy,p,r,f1,f2,ap_50,ap_50_95,conf,pred_cls,target_cls,distortion,label
/Data4/student_zhihan_data/data/GC10-DET_brightness_-15/test/images/img_03_424992500_00388_jpg.rf.ec28701153afa1dd22f46920ffb9297f.jpg,0.533106487,0.034240723,0.003912085,0.000187904,2.281526552,[          1],[          1],[          1],[          1],0.995,0.597,[    0.33354],[          8],[          8],GC10-DET_brightness_-15,37.0
/Data4/student_zhihan_data/data/GC10-DET_brightness_-15/test/images/img_03_425503100_00066_jpg.rf.c80d682dcb624742ec4e67f3dfc73544.jpg,0.694677238,0.001499023,0.010558573,8.32981e-05,2.2763112,[          0],[          0],[          0],[          0],0.0,0.0,[    0.35206      0.2984],[          3           5],[          2],GC10-DET_brightness_-15,37.0
/Data4/student_zhihan_data/data/GC10-DET_brightness_-15/test/images/img_01_425008500_00677_jpg.rf.85e0f1a63299479dd07b5c5314f7beca.jpg,0.354166187,0.152297363,0.010596595,0.001824031,2.258288395,[          1],[          1],[          1],[          1],0.995,0.597,[    0.80993     0.28687],[          8           3],[          8],GC10-DET_brightness_-15,37.0
/Data4/student_zhihan_data/data/GC10-DET_brightness_-15/test/images/img_05_425608200_00814_jpg.rf.51da696c5976e986c5c492e99d2dd638.jpg,0.006219317,0.113457031,0.015526312,0.001388662,0.758669956,[          1           1],[          1           1],[          1           1],[          1           1],0.995,0.6965,[    0.73686     0.31932],[          1           9],[          1           9],GC10-DET_brightness_-15,37.0
/Data4/student_zhihan_data/data/GC10-DET_brightness_-15/test/images/img_01_425005700_00442_jpg.rf.ef12f267a48c4fae4160ff0ff6c1cd07.jpg,0.165364157,0.105627441,0.002383426,0.000403743,2.282809366,[          1],[          1],[          1],[          1],0.995,0.4975,[    0.44761],[          6],[          6],GC10-DET_brightness_-15,37.0
/Data4/student_zhihan_data/data/GC10-DET_brightness_-15/test/images/img_02_3436789500_00005_jpg.rf.85f310f1107d6db92898a8766345b99e.jpg,0.086941209,0.0475,0.006532889,0.002278581,0.45595427,[    0.70868],[        0.5],[    0.58633],[    0.53129],0.58,0.174,[    0.54244     0.46684     0.43892     0.37508     0.34753     0.28797     0.26189],[          4           4           3           0           3           0           0],[          0           0],GC10-DET_brightness_-15,37.0
/Data4/student_zhihan_data/data/GC10-DET_brightness_-15/test/images/img_03_4401440300_00347_jpg.rf.ff9406713a4ed5507b002d4ce5f72e52.jpg,0.369365467,0.004746094,1.0,1.0,2.302585093,[        0.5],[    0.33333],[        0.4],[    0.35714],0.333325,0.066665,[    0.27452      0.2585],[          8           8],[          8           8           8],GC10-DET_brightness_-15,37.0
/Data4/student_zhihan_data/data/GC10-DET_brightness_-15/test/images/img_06_425614600_00411_jpg.rf.0ca4276f5b7c9adc24a31de9d096a32b.jpg,0.132899888,0.02682373,0.006230183,0.001158379,2.277253142,[          1],[          1],[          1],[          1],0.995,0.4975,[    0.62588],[          7],[          7],GC10-DET_brightness_-15,37.0
/Data4/student_zhihan_data/data/GC10-DET_brightness_-15/test/images/img_07_4404374100_01265_jpg.rf.7c0ea7dc6275568c84f63ffd923f5c66.jpg,0.054828645,0.007963867,0.002336383,0.002969227,2.283434843,[    0.72505],[          1],[    0.84061],[     0.9295],0.995,0.199,[    0.37794      0.2859],[          7           7],[          7],GC10-DET_brightness_-15,37.0
/Data4/student_zhihan_data/data/GC10-DET_brightness_-15/test/images/img_08_425007500_01452_jpg.rf.a6354954b51ef244ccef3d9462ffe717.jpg,0.127647539,0.087585449,0.014082569,0.000100574,1.138489424,[          1           1],[          1           1],[          1           1],[          1           1],0.995,0.84575,[    0.75265     0.43472],[          1           9],[          1           9],GC10-DET_brightness_-15,37.0
/Data4/student_zhihan_data/data/GC10-DET_brightness_-15/test/images/img_01_425502900_00018_jpg.rf.993eb5cbb2f35e662145c2aa415d9879.jpg,0.099448397,0.13034668,0.002809838,0.003884187,2.282664009,[          1],[          1],[          1],[          1],0.995,0.597,[    0.48213],[          1],[          1],GC10-DET_brightness_-15,37.0
/Data4/student_zhihan_data/data/GC10-DET_brightness_-15/test/images/img_08_425508200_00024_jpg.rf.e7b2ff05772bc1c560893f689919a53b.jpg,0.33135446,0.109155273,1.0,1.0,2.302585093,[          0],[          0],[          0],[          0],0.0,0.0,[],[],[          2           2],GC10-DET_brightness_-15,37.0
/Data4/student_zhihan_data/data/GC10-DET_brightness_-15/test/images/img_08_4406743300_00468_jpg.rf.3298d91af6c8c83868684ff0feb87c36.jpg,0.268595475,0.158759766,0.006119946,0.007896671,2.276549625,[          0],[          0],[          0],[          0],0.0,0.0,[    0.33351],[          6],[          6],GC10-DET_brightness_-15,37.0
/Data4/student_zhihan_data/data/GC10-DET_brightness_-15/test/images/img_07_4406645900_00730_jpg.rf.68f3b77d92761bf22a8e39c9837cbacd.jpg,0.090759736,0.055192871,1.0,1.0,2.302585093,[          0],[          0],[          0],[          0],0.0,0.0,[],[],[          6],GC10-DET_brightness_-15,37.0
/Data4/student_zhihan_data/data/GC10-DET_brightness_-15/test/images/img_03_4403715000_00003_jpg.rf.8fd599665109faa6025da5f5d7de01b0.jpg,0.467014969,0.062946777,0.003253815,0.004610722,2.28281326,[          0],[          0],[          0],[          0],0.0,0.0,[    0.37353      0.3643     0.25969],[          9           3           0],[          5],GC10-DET_brightness_-15,37.0
/Data4/student_zhihan_data/data/GC10-DET_brightness_-15/test/images/img_08_425391700_00089_jpg.rf.c8fe702a294d891b9cb8143305d79e74.jpg,0.306984191,0.114616699,0.003085848,0.003864573,2.282803019,[    0.91503],[          1],[    0.95563],[    0.98177],0.995,0.796,[    0.59677     0.30124],[          3           3],[          3],GC10-DET_brightness_-15,37.0
