,img_name,p,r,f1,f2,ap_50,ap_50_95,conf,pred_cls,target_cls
0,/Data4/student_zhihan_data/data/GC10-DET_BilateralBlur_300/test/images/img_08_425637800_00890_jpg.rf.4e3226a45f7bf69e58918d8952b79b6b.jpg,[          1           1],[          1           1],[          1           1],[          1           1],0.995,0.7462499999999999,[    0.71644     0.43894],[          1           9],[          1           9]
1,/Data4/student_zhihan_data/data/GC10-DET_BilateralBlur_300/test/images/img_03_424992500_00388_jpg.rf.ec28701153afa1dd22f46920ffb9297f.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[],[],[          8]
2,/Data4/student_zhihan_data/data/GC10-DET_BilateralBlur_300/test/images/img_03_425503100_00066_jpg.rf.c80d682dcb624742ec4e67f3dfc73544.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[],[],[          2]
3,/Data4/student_zhihan_data/data/GC10-DET_BilateralBlur_300/test/images/img_01_425008500_00677_jpg.rf.85e0f1a63299479dd07b5c5314f7beca.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[],[],[          8]
4,/Data4/student_zhihan_data/data/GC10-DET_BilateralBlur_300/test/images/img_05_425608200_00814_jpg.rf.51da696c5976e986c5c492e99d2dd638.jpg,[          1           0],[          1           0],[          1           0],[          1           0],0.4975,0.2985,[    0.30156],[          1],[          1           9]
5,/Data4/student_zhihan_data/data/GC10-DET_BilateralBlur_300/test/images/img_01_425005700_00442_jpg.rf.ef12f267a48c4fae4160ff0ff6c1cd07.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[],[],[          6]
6,/Data4/student_zhihan_data/data/GC10-DET_BilateralBlur_300/test/images/img_02_3436789500_00005_jpg.rf.85f310f1107d6db92898a8766345b99e.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[    0.44812     0.35152],[          3           9],[          0           0]
7,/Data4/student_zhihan_data/data/GC10-DET_BilateralBlur_300/test/images/img_03_4401440300_00347_jpg.rf.ff9406713a4ed5507b002d4ce5f72e52.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[],[],[          8           8           8]
8,/Data4/student_zhihan_data/data/GC10-DET_BilateralBlur_300/test/images/img_06_425614600_00411_jpg.rf.0ca4276f5b7c9adc24a31de9d096a32b.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[],[],[          7]
9,/Data4/student_zhihan_data/data/GC10-DET_BilateralBlur_300/test/images/img_07_4404374100_01265_jpg.rf.7c0ea7dc6275568c84f63ffd923f5c66.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[],[],[          7]
10,/Data4/student_zhihan_data/data/GC10-DET_BilateralBlur_300/test/images/img_08_425007500_01452_jpg.rf.a6354954b51ef244ccef3d9462ffe717.jpg,[          1           0],[          1           0],[          1           0],[          1           0],0.4975,0.2985,[    0.66264],[          1],[          1           9]
11,/Data4/student_zhihan_data/data/GC10-DET_BilateralBlur_300/test/images/img_01_425502900_00018_jpg.rf.993eb5cbb2f35e662145c2aa415d9879.jpg,[          1],[          1],[          1],[          1],0.995,0.6965,[    0.56324],[          1],[          1]
12,/Data4/student_zhihan_data/data/GC10-DET_BilateralBlur_300/test/images/img_08_425508200_00024_jpg.rf.e7b2ff05772bc1c560893f689919a53b.jpg,[          0],[          0],[          0],[          0],0.0,0.0,[],[],[          2           2]
